RAGIONE SOCIALE,"RICAVI 2021 
(000 eur)","VAR. 21/20 
(%)","RISULT. 2021 
(000 eur)"
PLT PUREGREEN S.P.A.,123235,"152,3",-350
GRITTI ENERGIA S.R.L.,122794,"43,9",1554
LENERGIA S.P.A.,122077,"80,3",3156
EVOLVERE S.P.A. SOCIETA’ BENEFIT,120643,"247,6",27689
ERG WIND ENERGY S.R.L.,120444,"327,9",117817
ROMAGAS SRL,120258,"490,2",-25873
S.E.S.A. S.P.A.,119340,14,11921
ET DISTRIBUZIONE S.P.A.,118585,"7,2",17135
ACEA AMBIENTE S.R.L.,118438,"29,2",12854
RIZZICONI ENERGIA – SOCIETA’ PER AZIONI,117100,"73,5",2039
ECO GREEN S.R.L.,116883,"74,1",15018
HERA COMM MARCHE S.R.L.,116429,"29,5",5992
FUTURENERGY RINNOVABILE S.R.L.,116033,126,316
AMAP S.P.A.,114987,"1,7",14519
ACQUEDOTTO DEL FIORA S.P.A.,114129,"0,5",20167
CORIPET,113808,"82,3",2791
FRI-EL TRADING S.R.L.,112885,"218,8",66
UMBRIA ENERGY S.P.A.,112204,"24,3",2776
CALENIA ENERGIA – SOCIETA’ PER AZIONI,110711,"81,1",844
TRM S.P.A.,110009,"49,8",48116
A2A CICLO IDRICO S.P.A.,108251,"10,1",26458
ALPERIA GREENPOWER SRL,106479,"-10,7",13054
SIDER ROTTAMI ADRIATICA S.P.A.,106037,"85,1",2796
ITALPOWER ENERGIA S.R.L.,105009,"96,2",679
EDYNA SRL,104939,"3,5",11826
PIEMONTE ENERGY S.P.A.,104842,"48,5",3171
ITAL GREEN ENERGY S.R.L.,103281,"185,1",44396
ESA ENERGIE S.P.A. SOCIETA’ BENEFIT,102631,"118,1",1818
AZIENDA SERVIZI AMBIENTALI S.P.A.,101293,"0,6",3862
AZ. MUNIC. IGIENE URBANA PUGLIA S.P.A.,100059,"-0,6",770
DUSTY S.R.L.,99903,"3,9",-2694
ERG POWER – S.R.L.,97578,"9,4",18953
OLIMPIA S.R.L.,96777,"65,2",3841
ENEGA S.R.L.,96772,"55,9",136
BRIANZACQUE S.R.L.,95990,"0,8",10081
ECO SIDER – S.R.L.,95490,"159,7",1072
IMPRESA SANGALLI GIANCARLO & C. S.R.L.,95410,-3,859
EICOM S.R.L.,95069,"60,1",1706
AIMAG S.P.A.,94829,"0,7",13107
ACEA PRODUZIONE S.P.A.,93783,"91,1",29099
RENEWABLE DISPATCHING S.R.L.,93065,"291,5",206
AUDAX ENERGIA S.R.L.,91819,"123,7",288
VOGHERA ENERGIA S.P.A.,91658,"183,6",6161
ACEA PINEROLESE ENERGIA S.R.L.,91622,"49,3",1688
DAUNIA GREEN STREAM S.R.L.,91430,n.s.,1312
RWE RENEWABLES ITALIA S.R.L.,91094,"138,3",-182888
CONSORZI ENERGETICI IND. RI. SCRL,90918,"29,5",4
E.ON BUSINESS SOLUTIONS S.R.L.,90353,"106,8",5131
CONTARINA S.P.A.,90204,"7,9",42
SALERNO ENERGIA VENDITE S.P.A.,89235,"51,7",-188
TEK.R.A. S.R.L.,88849,"13,1",398
SOCIETA’ RISORSE IDRICHE CALABRESI S.P.A.,88188,n.d.,712
ALFA SRL,87281,"28,1",13175
GESENU S.P.A. ,86861,"4,4",1801
TECHEMET S.R.L.,85378,"60,2",2391
ACQUE VERONESI S.C.A R.L.,85360,"3,6",438
ENERPARTNER S.R.L.,83899,"127,2",38
COBAT S.P.A. SOCIETA’ BENEFIT,83228,"33,9",491
ACQUA CAMPANIA S.P.A.,82891,"5,2",9192
MANTOVA AMBIENTE S.R.L.,82443,"9,7",1198
ASTEA ENERGIA S.P.A.,82314,"36,2",3185
FORMULA AMBIENTE S.P.A.,82212,32,2053
ACEA ATO 5 S.P.A.,81868,"0,8",2632
ZENERGIA S.R.L.,81286,n.s.,-18753
GREENTHESIS S.P.A.,80830,"-2,3",3998
ERGOSUD S.P.A.,80507,"35,6",-5074
ACQUEDOTTO LUCANO – S.P.A.,80256,15,-2177
GEST S.R.L.,80120,"0,5",6
BLUE META S.P.A.,80026,"26,4",6158
G.A.I.A. S.P.A.,79932,"4,1",1086
4ENERGIA S.R.L.,79557,"111,1",309
GEOFOR S.P.A.,79080,"20,7",62
ENERGIA PULITA S.P.A.,78795,"66,9",23751
UNION GAS METANO S.P.A.,78728,"73,3",5674
ACAM ACQUE S.P.A.,77838,"6,3",3295
UMBRA ACQUE S.P.A.,77775,"-4,5",4707
UBROKER S.P.A.,77023,"83,5",3231
SICILIACQUE – S.P.A.,76869,"64,9",2781
ACQUEVENETE S.P.A.,76697,"-0,2",526
SMURFIT KAPPA RECYCLING ITALIA S.R.L.,76474,"225,2",1129
GESAM GAS & LUCE S.P.A.,76332,94,5232
ENERGIA PULITA S.R.L.,76070,n.s.,-3251
EVISO S.P.A.,75712,"58,3",1327
COGENIO S.R.L.,75490,"138,3",4236
ACQUE BRESCIANE SRL,75316,"0,2",4315
CEM AMBIENTE S.P.A.,75192,"11,7",2749
GESTIONE ITALIA SOCIETA’ PER AZIONI,74860,"55,9",756
EGEA PROD. E TELERISCALDAMENTO S.R.L.,73920,"434,6",6853
DS SMITH RECYCLING ITALIA SRL,73171,"44,7",1254
LINEA GREEN S.P.A.,73065,"20,7",8852
S.A.R.I.M. – S.R.L.,72734,"10,1",1582
LERETI S.P.A.,72712,"-5,9",14411
VEOS S.P.A.,72217,"124,1",3501
EVOLVE S.P.A.,71811,626,5814
2B ENERGIA S.R.L. ,71225,"-74,2",-4809
FREE LUCE&GAS S.P.A.,71007,"163,8",1688
CALABRA MACERI E SERVIZI S.P.A.,70643,"23,7",14164
ALLEANZA LUCE&GAS S.P.A.,70319,"-0,6",-6141
PAVIA ACQUE S.C.A R.L.,69541,"-5,1",1118
INDUSTRIA LAVORAZIONE FERRO S.P.A.,69352,"82,5",1489
ASM TERNI S.P.A.,68557,"20,1",982
SAN GERMANO S.P.A.,67515,"5,5",517
CENTRIA S.R.L.,67050,"-8,4",8115
ACQUA NOVARA.VCO S.P.A.,66718,"6,3",5930
VIBECO SRL,66278,"261,7",2253
AMG GAS S.R.L.,66157,"19,8",2809
V-RETI S.P.A.,65716,"3,2",16643
S.I.RE. S.P.A.,65701,"73,1",6287
SICILIANA METALLI S.R.L.,64963,"117,1",3628
AP RETI GAS S.P.A.,64878,"-26,1",15189
FENIX SRL,64637,380,499
VIVA SERVIZI S.P.A.,64471,"0,6",3813
RISALITI S.R.L.,64406,"86,8",1814
LUMENERGIA S.P.A.,63878,"40,7",366
SEV SC,63573,n.s.,-205
BIOMASSE ITALIA S.P.A.,63491,"42,7",34034
VIACQUA S.P.A.,63352,"1,7",3123
CONFINDUSTRIA ENERGIA A. SCONSARL,63010,86,36
ALTO GARDA POWER S.R.L.,62046,"123,8",10550
GOLDENERGY SRL,62000,"37,3",2782
COMO ACQUA S.R.L.,61921,"43,2",2100
BIOMAN S.P.A.,61566,"-13,8",9371
GREEN UP S.P.A.,61366,"6,6",928
AGESP ENERGIA S.R.L.,60812,"49,6",-3214
MILANO GAS E LUCE S.R.L. ,60549,"12,8",3075
ACEA ENERGY MANAGEMENT S.R.L.,60542,-11,237
NEWATT S.R.L.,60398,"114,5",1448
ERSU S.P.A.,60339,"28,3",136
ENEGAN GAS TRADING SRL,60320,"46,6",1396
PRIOLO SERVIZI SCPA,60287,"23,3",607
A.C.A. S.P.A. IN HOUSE PROVIDING,60184,"1,8",1934
NOVARETI S.P.A.,59541,"9,9",9527
WEKIWI S.R.L.,58549,"62,2",113
VALLE UMBRA SERVIZI S.P.A.,58277,"-0,4",1520
ITAL POWER S.R.L.,58209,"74,8",531
ACEA PINEROLESE INDUS. S.P.A.,58037,"7,9",2391
AMIA VERONA S.P.A.,57642,0,87
ECOPNEUS S.C.P.A.,57055,"17,5",0
IRPINIAMBIENTE S.P.A.,56879,"5,6",107
GIACOMO BRODOLINI SCARL,56849,"11,1",2563
B1GAS S.P.A.,56562,"36,4",144
MIOGAS & LUCE S.R.L.,56516,"100,2",2148
NUOVE ACQUE SPA,56319,"5,5",6958
METANO NORD – S.P.A.,55870,"49,3",-3969
CO.FER.METAL. MARCHE S.R.L.,55312,"97,7",3197
LINEA GESTIONI S.R.L.,55040,"1,2",564
ALTO CALORE SERVIZI SPA,54913,"23,4",-33523
ALEGAS SRL,54799,"27,8",171
EDISON NEXT ENVIRONMENT S.R.L.,54783,"28,3",211
RUZZO RETI S.P.A.,54737,"4,2",1610
MARAZZATO SOL. AMBIENTALI SRL,54541,"31,9",2094
MONTECO S.P.A.,54330,"4,9",1493
LARIO RETI HOLDING S.P.A.,54317,"10,3",6469
ACQUE DEL CHIAMPO S.P.A.,54204,"13,5",1069
ASET S.P.A.,53517,"6,7",5187
ATECO S.R.L.,52887,"100,4",1901
VALENZANO S.R.L.,52690,79,1294
CONSORZIO CFA SC,52584,"-4,9",78
SPIGAS CLIENTI S.R.L.,52575,"66,8",776
PADANIA ACQUE S.P.A.,52208,"5,8",3172
COSMARI SRL,51976,"0,2",26
AMGAS S.R.L.,51609,"34,4",2093
S.I.R.MET S.R.L.,51305,"79,2",3993
LD RETI S.R.L.,51088,"-17,9",9571
TEKNEKO SISTEMI ECOLOGICI S.R.L.,51014,22,743
CELLINA ENERGY SRL,50998,"146,4",30217
SG ENERGIA SOCIETA’ PER AZIONI,50739,"123,5",331
GALLI RODOLFO E FIGLI S.R.L.,50730,"77,1",849
ACAM AMBIENTE S.P.A.,50709,"13,6",-5415
I. BLU S.R.L.,50604,"0,7",2182
VALLE CAMONICA SERVIZI VENDITE S.P.A.,50162,"32,2",1866
CIIP S.P.A.,50062,"0,3",6640
A.F. ENERGIA S.R.L.,49896,"32,6",1381
R. CASINI S.R.L.,49378,93,1698
PORCARELLI GINO & CO. SRL,49323,"14,4",2259
CLARA S.P.A.,49318,"-2,3",47
SH ENERGIE S.R.L.,49307,208,1486
SIDER PAGANI – S.R.L.,49231,"83,4",610
MECOMER S.R.L.,49082,"10,1",4613
COSTA METALLI S.R.L. ,48977,84,94
DIMENSIONE AMBIENTE S.P.A.,48854,"43,5",5705
COGESER ENERGIA S.R.L.,48793,36,2437
RETIPIU’ SRL,48755,"9,5",15088
METAMER S.R.L. ,48609,"24,7",1009
TERMICA COLLEFERRO S.P.A.,48534,"134,2",-10401
METAENERGIA S.P.A.,48463,"-32,3",-6927
A2A AIRPORT ENERGY S.P.A.,48444,"33,4",2205
FEN ENERGIA SPA,48192,"27,2",18201
ENERGYSERVICES S.R.L.,48077,"-1,5",28
CAFC S.P.A.,47975,"-6,8",1353
ENERFIN S.R.L.,47788,36,136
AQUASER S.R.L.,47750,"-13,3",3186
ANTENORE ENERGIA S.R.L.,47231,"54,5",101
RELIFE RECYCLING S.R.L.,47223,"46,3",465
TEA S.P.A. SB,46999,"8,6",33176
ECOLOGICA S.P.A.,46967,"-18,5",1331
AZIENDA PUBBLISERVIZI BRUNICO,46930,"19,9",1449
ROMAGNA ACQUE S.P.A.,46626,1,7781
ECO CENTER S.P.A.,45712,"24,1",12
RIAM SRL,45660,99,1755
HESTAMBIENTE S.R.L.,45578,"-5,8",1118
EN PLUS S.R.L.,45500,"4,7",8310
ALTO TREVIGIANO SERVIZI S.P.A ,45355,"-4,8",964
ROTT-FERR S.R.L.,45346,"72,6",2803
ENGIE RETI CALORE S.R.L.,45138,"200,5",10719
CENTRO RISORSE S.R.L.,45118,-3,7604
SILEA SPA ,45014,"9,7",3349
SCAPIGLIATO S.R.L.,44973,8,3838
ECOOPERA SC,44735,"5,7",1021
MADIFER SRL,44593,"103,1",339
MESSINASERVIZI BENE COMUNE S.P.A.,44476,"25,9",791
ECOSISTEM SRL,44317,"0,5",5686
ATENA TRADING S.R.L.,44215,"9,5",731
ITALGEN S.P.A.,44081,"45,9",12397
SER.I.T. S.R.L.,43643,"5,8",56
ASM BRESSANONE S.P.A.,43541,"13,9",5
PRIMIERO ENERGIA S.P.A.,43373,"135,9",16878
MARGHERITA S.R.L.,43216,"143,6",37730
MADE IN ENERGY S.R.L.,43063,"-43,5",5350
ASM ENERGIA S.P.A.,42888,25,80
NUOVENERGIE S.P.A.,42783,"42,5",847
BELVEDERE S.P.A.,42749,"9,6",5555
GELSIA AMBIENTE S.R.L.,42538,"7,4",2270
STENA RECYCLING S.R.L.,42477,"21,6",1244
LAMACART RECYCLING S.R.L.,42439,"84,7",359
ECO-RICICLI VERITAS S.R.L.,42244,"18,9",-1180
ECOLOGIA OGGI S.P.A.,42197,"-4,5",2547
