"PRENOTAZIONE","NINGRESSO","Titolo","Autore ","Casa editrice","Disponibilità","CDD","ABBREVIAZ","SOGGETTO","ISBN","PAGINE","LUOGOEDIZ","COLLANA","ULTIMOAGG","ANNO_ED","PROGRESSIVO"
,"U00823","Canto della valle, Il","Asch, Shalom","Mondadori","LIBRO DISPONIBILE","839","ASH",,,"223","MIlano","Medusa ; 242",11/07/2006,"1949",823
,"U00824","Morte ribelle","Plinser, Charles","Mondadori","LIBRO DISPONIBILE","843.9","PLI",,," 228","Milano","Medusa, 254",01/09/2002,"1950",824
,"U00825","Uomo d'altri tempi, Un","Bergengruen, Werner","Mondadori","LIBRO DISPONIBILE","833.9","BER",,," 264","Milano","Medusa, 216",06/09/2002,"1948",825
,"U00826","Fine di Gerusalemme, La","Feutchtwanger, Lion","Mondadori","LIBRO DISPONIBILE","833.9","FEU",,," 485","Milano","Medusa, 6",05/09/2002,"1949",826
,"U00827","Giudeo di Roma, Il","Feuchtwanger, Lion","Mondadori","LIBRO DISPONIBILE","833.9","FEU",,," 471","Milano","Medusa, 65",05/09/2002,"1949",827
,"U00828","Cavalcata del colonnello Franklin, La","Allen, Hervey","Mondadori","LIBRO DISPONIBILE","813.5","ALL",,," 354","Milano","Medusa, 109",07/09/2002,"1940",828
,"U00829","Fattoria degli animali, La","Orwell, George","Mondadori","LIBRO DISPONIBILE","823.9","ORW",,," 144","Milano","Medusa, 200",01/09/2002,"1949",829
,"U00830","Silas Marner","Eliot, George","Fabbri","LIBRO DISPONIBILE","823.8","ELI",,," 267","Milano","I grandi della letteratura, 78",01/09/2002,"1970",830
,"U00831","Cavallieri di malta, I","Peyrefitte, Roger","Longanesi & C.","LIBRO DISPONIBILE","843.9","PEY",,," 366","Milano","La Gaja Scienza, 43",01/09/2002,"1957",831
,"U00832","Residenze sulla terra","Neruda, Pablo","Sansoni","LIBRO DISPONIBILE","861","NER",,," 315","Firenze","Il Maestrale",26/08/2002,"1969",832
,"U00833","Finestre di piazza Navona, Le","D'Amico, Silvio","Mondadori","LIBRO DISPONIBILE","853.9","DAM",,," 280","Milano","Narratori italiani,",22/08/2002,"1962",833
,"U00834","Mille camere","Biagi, Enzo","Mondadori","LIBRO DISPONIBILE","858.9","BIA",,," 309","Milano","I libri di Enzo Biag",22/08/2002,"1984",834
,"U00835","Viva gli sposi","Manfredi, Nino","Rizzoli","LIBRO DISPONIBILE","853.9","MAN",,," 188","Milano","La Scala",24/08/2002,"1984",835
,"U00836","Insostenibile leggerezza dell'essere, L'","Kundera, Milan","Adelphi","LIBRO DISPONIBILE","891.8","KUN",,," 318","Milano","Fabula, 1",25/08/2002,"1985",836
,"U00837","Figli e amanti","Lawrence, David herbert","Dall'Oglio","LIBRO DISPONIBILE","823.9","LAW",,," 577","Milano",,05/09/2002,"1957",837
,"U00838","Scendi Mosé","Faulkner, William","Mondadori","LIBRO DISPONIBILE","813.5","FAU",,," 386","Milano","Medusa, 186",05/09/2002,"1947",838
,"U00839","Signor Ouine, Il","Bernanos, Georges","Mondadori","LIBRO DISPONIBILE","843.9","BER",,," 279","Milano","Medusa, 226",06/09/2002,"1949",839
,"U00840","Ragazzi di Vienna","Neumann, Robert","Mondadori","LIBRO DISPONIBILE","813.5","NEU",,," 205","Milano","Medusa, 201",01/09/2002,"1947",840
,"U00841","Strano gioco, Uno","Vailland, Roger","Mondadori","LIBRO DISPONIBILE","843.9","VAI",,," 292","Milano","Medusa, 227",01/09/2002,"1949",841
,"U00842","Straniera, La","Kuncewiczowa, Maria","Mondadori","LIBRO DISPONIBILE","891.85","KUN",,," 299","Milano","Medusa, 107",25/08/2002,"1949",842
,"U00844","Imperatore, L'","Neuman, Alfred","Mondadori","LIBRO DISPONIBILE","833.9","NEU",,," 540","Milano",,01/09/2002,"1950",844
,"U00845","Adriana Mesurat","Green, Julien","Mondadori","LIBRO DISPONIBILE","843.9","GRE",,," 277","Milano","Medusa, 225",05/09/2002,"1949",845
,"U00846","Catena del passato, La","Huxley, Aldous","Mondadori","LIBRO DISPONIBILE","823.9","HUX",,," 486","Milano","Medusa, 250",04/09/2002,"1950",846
,"U00847","Masnadieri, I","Frank, Leonhard","Mondadori","LIBRO DISPONIBILE","833.9","FRA",,," 461","Milano","Medusa, 92",29/09/2002,"1934",847
,"U00848","Dopo molte estati","Huxley, Aldous","Mondadori","LIBRO DISPONIBILE","823.9","HUX",,," 304","Milano","Medusa, 224",04/09/2002,"1949",848
,"U00849","Mi troverai nel fuoco","Lowry, Robert","Mondadori","LIBRO DISPONIBILE","813.5","LOW",,," 282","Milano","Medusa, 245",05/09/2002,"1950",849
,"U00850","Campo di battaglia, Un","Greene, Graham","Mondadori","LIBRO DISPONIBILE","823.9","GRE",,," 248","Milano","Medusa, 240",01/09/2002,"1949",850
,"U00851","Giorno verrà, Il","Feuchtwanger, Lion","Mondadori","LIBRO DISPONIBILE","833.9","FEU",,," 345","Milano","Medusa, 211",05/09/2002,"1949",851
,"U00852","Amici del popolo, Gli","Neumann, Alfred","Mondadori","LIBRO DISPONIBILE","833.9","NEU",,," 405","Milano","Medusa, 251",01/09/2002,"1950",852
,"U00853","Avventure di Pierino","Chiara, Piero","Mondadori","LIBRO DISPONIBILE","853.9","CHI",,," 154","Milano","Oscar narrativa, 259",22/08/2002,"1989",853
,"U00854","Mistero degli studi Kellerman, Il","Follett, Ken","Mondadori","LIBRO DISPONIBILE","R  D","FOL",,,"   0","Milano","Junior +10",17/10/2002,"1991",854
,"U00855","Guerra di Anna","Rosen, Billi","Mondadori","LIBRO DISPONIBILE","R  I","ROS",,," 119","Milano","Junior gaia",13/10/2002,"1990",855
,"U00856","Professione ? Spia!","Fitzhugh, Louise","Mondadori","LIBRO DISPONIBILE","R  K","FIT",,," 215","Milano","Junior gaia",13/10/2002,"1990",856
,"U00857","Culla in fondo al mare, Una","McKillip, Patricia A.","Mondadori","LIBRO DISPONIBILE","R  K","MCK",,,"1655","Milano","Junior gaia",13/10/2002,"1991",857
,"U00858","Sfida di Lizzie","Ross, Rhea Beth","Mondadori","LIBRO DISPONIBILE","R  I","ROS",,," 166","Milano","Junior gaia",13/10/2002,"1990",858
,"U00859","Cerchio del tempo, Il","Lee, Tanith","Mondadori","LIBRO DISPONIBILE","R K","LEE",,," 103","Milano","Junior gaia",13/10/2002,"1991",859
,"U00862","Ronja","Lindgren, Astrid","Mondadori","LIBRO DISPONIBILE","R  I","LIN",,," 167","Milano","Junior gaia",13/10/2002,"1990",862
,"U00864","Storie di giovani mostri. A cura di Isaac Asimov","AA.VV.","Mondadori","LIBRO DISPONIBILE","R  E","STO",,,"   0","Milano","Superjunior",19/10/2002,"1991",864
,"U00865","Storie  da un altro mondo. A cura di Isaac Asimov","AA.VV.","Mondadori","LIBRO DISPONIBILE","R  E","STO",,,"   0","Milano","Superjunior",19/10/2002,"1991",865
,"U00867","Pendola stregata, La","Bellairs, John","Mondadori","LIBRO DISPONIBILE","R  I","BEL",,,"   0","Milano","Superjunior",19/10/2002,"1990",867
,"U00868","Storia di Petros, La","Zei, Alki","Mondadori","LIBRO DISPONIBILE","R  I","ZEI",,,"   0","Milano","Superjunior",19/10/2002,"1991",868
,"U00869","Storie di giovani maghi.- A cura di Isaac Asimov","AA.VV.","Mondadori","LIBRO DISPONIBILE","R  I","STO",,,"   0","Milano","Superjunior",19/10/2002,"1991",869
,"U00870","Storie di giovani fantasmi. A cura di Isaac Asimov","AA.VV.","Mondadori","LIBRO DISPONIBILE","R  I","STO",,,"   0","Milano","Superjunior",01/11/2002,"1991",870
,"U00871","Storie di giovani alieni. A cura di Isaac Asimov","AA.VV.","Mondadori","LIBRO DISPONIBILE","R  E","STO",,,"   0","Milano","Superjunior",19/10/2002,"1990",871
,"U00872","Ragazzi volanti, I","Denton, Derek","Mondadori","LIBRO DISPONIBILE","R  H","DEN",,,"   0","Milano","Superjunior",19/10/2002,"1991",872
,"U00874","Secondo libro della giungla, Il","Kipling, Rudyard","Mursia","LIBRO DISPONIBILE","R  H","KIP",,,"   0","Milano","Corticelli, 17",24/10/2002,"1988",874
,"U00877","Tom Sawyer in pallone; Tom Sawyer detective","Twain, Mark","Mondadori","LIBRO DISPONIBILE","R  I","TWA",,,"   0","Milano",,24/10/2002,"1989",877
,"U00881","Regina della pioggia, La","Storm. Theodor","La Scuola","LIBRO DISPONIBILE","R  B","STO",,,"   0","Brescia",,01/11/2002,"1976",881
,"U00882","Lilli e il vagabondo","AA.VV.","Mondadori","LIBRO DISPONIBILE","R  B","LIL",,,"94","Milano","Disneyana",,"1991",882
,"U00883","Sirenetta, La","AA.VV.","Mondadori","LIBRO DISPONIBILE","R  B","SIR",,,"   0","Milano","Disneyana",01/11/2002,"1991",883
,"U00884","Mostri","Hoban, Russell","Mondadori","LIBRO DISPONIBILE","R  B","HOB",,,"   0","Milano",,01/11/2002,"1990",884
,"U00885","Lunga giacca blu, La","Wills, Jeanne","Mondadori","LIBRO DISPONIBILE","R  B","WIL",,,"   0","Milano",,01/11/2002,"1990",885
,"U00886","Fatti e misfatti","Chiara, Piero","Mondadori","LIBRO DISPONIBILE","R  I","CHI",,," 123","Milano",,13/10/2002,"1988",886
,"U00888","Dono di Natale, Il","Herriot, James","Rizzoli","LIBRO DISPONIBILE","R  B","HER",,,"   0","Milano",,01/11/2002,"1987",888
,"U00890","Piccolo maiale grandi guai","Tharlet, Eve","Vita e Pensiero Ragazzi","LIBRO DISPONIBILE","R  B","THA",,,"   0","Milano",,01/11/2002,"1991",890
,"U00891","Nottolino topino goloso topino coraggioso","Butler, M. Christina - Rutherford, Meg","Alauda","LIBRO DISPONIBILE","R  B","BUT",,,"   0","s.l.","Castelli in aria",01/11/2002,"1990",891
,"U00892","Nanook apprendista orsetto","Andrew, Margaret - Foreman, Mark","La cinciallegra","LIBRO DISPONIBILE","R  B","AND",,,"   0","s.l.",,01/11/2002,"1990",892
,"U00893","Storia di Gyp","Herriot. James","Rizzoli","LIBRO DISPONIBILE","R  I","HER",,,"   0","Milano",,31/10/2002,"1987",893
,"U00894","Gattino Mosè, Il","Herriot, James","Rizzoli","LIBRO DISPONIBILE","R  I","HER",,,"   0","Milano",,01/11/2002,"1985",894
,"U00895","Bastardino del mercato, Il","Herriot,. James","Rizzoli","LIBRO DISPONIBILE","R  I","HER",,,"   0","Milano",,01/11/2002,"1990",895
,"U00897","Piccole storie al chiaro di luna","Muller, Gerda","Alauda","LIBRO DISPONIBILE","R  B","MUL",,,"   0","s.l.",,31/10/2002,"1990",897
,"U00898","Storia di Vento, il piccolo pony, La","Pouyanne, Resie","Alauda","LIBRO DISPONIBILE","R  I","POU",,,"   0","s.l.",,01/11/2002,"1990",898
,"U00899","Ti racconto di Ghibli, cane pastore","Muller, Gerda","Alauda","LIBRO DISPONIBILE","R  B","MUL",,,"   0","s.l.",,01/11/2002,"1990",899
,"U00902","Amadeus","Lepscky, Ibi","Emme","LIBRO DISPONIBILE","R 780.92","LEP","1. Mozart, Wolfgang Amadeus   I. Cardoni, Paolo",,"1 v.","Milano",,,"1982",902
,"U00904","Musicanti di Brema, I","AA.VV.","Edibimbi","LIBRO DISPONIBILE","R  B","MUS",,,"   0","Legnano","Fiabe di sempre",01/11/2002,"1988",904
,"U00906","Antica Roma, L'","James, Simon","De Agostini","LIBRO DISPONIBILE","R 937","JAM","1.Roma antica-Libri per ragazzi",,"  63","Novara","In primo piano",17/04/2003,"1991",906
,"U00907","Antico Egitto, L'","Hart, George","De Agostini","LIBRO DISPONIBILE","R 932","HAR","1.Egitto antico-Libri per ragazzi",,"  64","Novara","In primo piano",24/04/2003,"1991",907
,"U00910","Nuovo mondo : dalla scoperta delle americhe alla vigilia delle indipendenze, Il","Dambrosio, Monica","Jaca Book","LIBRO DISPONIBILE","R 970","DAM","1. America - Storia - Sec. 15.-18.   I. Barbieri, Roberto  II. Berselli, Remo",,"1 v.","Milano","Storia dell'uomo",,"1991",910
,"U00912","Fiabe del cielo e della terra","Lazzarato, Francesca","Mondadori","LIBRO DISPONIBILE","R  B","LAZ",,,"   0","Milano",,31/10/2002,"1991",912
,"U00913","Fiabe della città e del deserto","Lazzarato, Francesca","Mondadori","LIBRO DISPONIBILE","R  B","LAZ",,,"   0","Milano",,31/10/2002,"1991",913
,"U00914","Mille e una notte, Le","Faccioli, Emilio","Einaudi","LIBRO DISPONIBILE","R 892","FAC",,,"289","Torino","Lettura per la scuola media ; 56",,"1980",914
,"U00915","Freccia nera, La","Stevenson, R. L.","SEI","LIBRO DISPONIBILE","R H","STE",,,"413","Torino","Il piacere di leggere",,"1990",915
,"U00916","Momo","Ende, Michael","SEI","LIBRO DISPONIBILE","R  E","END",,," 367","Torino","Il piacere di leggere",10/10/2002,"1990",916
,"U00917","Mago di Oz, il","Baum, Lyman F.","SEI","LIBRO DISPONIBILE","R H","BAU",,,"262","Torino","Il piacere di leggere",,"1990",917
,"U00919","Mulino sulla Floss. Romanzo di George Eliot, Il","Perri, Francesco","UTET","LIBRO DISPONIBILE","R  I","PER",,,"   0","Torino","La scala d'oro. Serie ottava, 5",02/11/2002,"1960",919
,"U00920","Tre moschettieri. Romanzo di Alessandro Dumas, I","Balsamo Crivelli, Riccardo","UTET","LIBRO DISPONIBILE","R  H","COP",,,"   0","Torino","La scala d'oro.Serie ottava, 4",02/11/2002,"1960",920
,"U00921","Battaglie da ridere. La Batracomiomachia; La Secchia Rapita e il Ricciolo rapito","Mottini, G. E. - Palazzi, Fernando","UTET","LIBRO DISPONIBILE","R  I","MOT",,,"   0","Torino","La scala d'oro. Serie ottava, 2",02/11/2002,"1960",921
,"U00922","Gerusalemme liberata. Poema di Torquato Tasso, La","Perri, Francesco","UTET","LIBRO DISPONIBILE","R  G","PER",,,"   0","Torino","La scala d'oro. Serie ottava, 1",02/11/2002,"1962",922
,"U00923","Musicisti di altri tempi","Spano, Marina",,"LIBRO DISPONIBILE",,,,,"   0",,,,,923
,"U00924","Scala d'oro, La","Errante-palazzi",,"LIBRO DISPONIBILE",,,,,"   0",,,,,924
,"U00926","Macchina del tempo. Romanzo di Erberto Giorgio Wells, La","Regini, Gino","UTET","LIBRO DISPONIBILE","R  E","REG",,,"   0","Torino","La scala d'oro. Serie ottava, 7",02/11/2002,"1960",926
,"U00927","Isola misteriosa. Romanzo dio Giulio Verne, L'","Tibaldi Chiesa, Maria","UTET","LIBRO DISPONIBILE","R  H","TIB",,,"   0","Torino","La scala d'oro. Serie ottava, 6",02/11/2002,"1962",927
,"U00928","Storia della navigazione","Umberto, Gozzano",,"LIBRO DISPONIBILE",,,,,"   0",,,,,928
,"U00929","Taccuino dello sport","Moretti, Aldo",,"LIBRO DISPONIBILE",,,,,"   0",,,,,929
,"U00930","Figure e fatti di storia moderna","Colonna-regosa",,"LIBRO DISPONIBILE",,,,,"   0",,,,,930
,"U00931","Panorami americani","Jeri",,"LIBRO DISPONIBILE",,,,,"   0",,,,,931
,"U00932","Meraviglie del mondo vetale, Le","Scortecci, Giuseppe",,"LIBRO DISPONIBILE",,,,,"   0",,,,,932
,"U00933","Meraviglie del mondo minerale, Le","Stura, Maria",,"LIBRO DISPONIBILE",,,,,"   0",,,,,933
,"U00934","Meraviglie del cinema, Le","Errante, Vincenza",,"LIBRO DISPONIBILE",,,,,"   0",,,,,934
,"U00935","Tavolozze e scalpelli","Demicheli",,"LIBRO DISPONIBILE",,,,,"   0",,,,,935
,"U00936","Meraviglie della luce e del suo, Le","Ripani-pavesio",,"LIBRO DISPONIBILE",,,,,"   0",,,,,936
,"U00937","Panorami africani","Jeri",,"LIBRO DISPONIBILE",,,,,"   0",,,,,937
,"U00938","Storia dell'automobile","Cucco, Luigi",,"LIBRO DISPONIBILE",,,,,"   0",,,,,938
,"U00939","Vita avventurosa di Lazzarino di Tormes. Romanzo picaresco spagnuolo narrato da Aldo Gabrielli, La","Gabrielli, Aldo","UTET","LIBRO DISPONIBILE","R  H","GAB",,,"   0","Torino","La scala d'oro. Serie nona, 5",24/10/2002,"1964",939
,"U00941","Ultimo dei Mohicani. Romanzo di Fenimore Cooper narrato da Simonetta Palazzi","Palazzi, Simonetta","UTET","LIBRO DISPONIBILE","R  H","PAL",,,"   0","Torino","La scala d'oro. Serie nona, 8",24/10/2002,"1961",941
,"U00942","Musicisti dei tempi moderni","Spano, Marina",,"LIBRO DISPONIBILE",,,,,"   0",,,,,942
,"U00943","Romanzo di Guerrinoi il Meschino, Il","Valeri, Diego","UTET","LIBRO DISPONIBILE","R  G","VAL",,,"   0","Torino","La scala d'oro. Serie nona, 3",02/11/2002,"1960",943
,"U00944","Morgante maggiore. Poema eroicomico di Luigi Pulci, Il","Nalli, Paolo","UTET","LIBRO DISPONIBILE","R  I","NAL",,,"   0","Torino","La scala d'oro. Serie nona, 2",02/11/2002,"1960",944
,"U00945","Leggenda di Orlando, La","Ferrarin, A. R.","UTET","LIBRO DISPONIBILE","R  G","FER",,,"   0","Torino","La scala d'oro. Serie nona, 1",02/11/2002,"1960",945
,"U00946","Mattia Sandorf. Romanzo di Giulio Verne narrato da Adelaide Pintor","Pintor, Adelaide","UTET","LIBRO DISPONIBILE","R  H","PIN",,,"   0","Torino","La scala d'oro. Serie nona, 7",24/10/2002,"1960",946
,"U00947","Capitan Fracassa. Romanzo di Teofilo Gautier, Il","Zucca, Giuseppe","UTET","LIBRO DISPONIBILE","R  H","ZUC",,,"   0","Torino","La scala d'oro. Serie nona, 4",02/11/2002,"1963",947
,"U00948","Guarda e scopri gli animali dell'oceano e degli abissi","AA.VV.","AMZ","LIBRO DISPONIBILE","R 591.22","GUA","1.Fauna marina-Libri per ragazzi",,"  61","Milano","Guarda e scopri, 10",17/04/2003,"1975",948
,"U00949","Guarda e scopri:gli animali del mare e della laguna","AA.VV.","AMZ","LIBRO DISPONIBILE","R 591.92","GUA","1.Fauna marina-Libri per ragazzi, 2.Fauna lagunare-Libri per ragazzi",,"  61","Milano","Guarda e scopri, 9",17/04/2003,"1975",949
,"U00950","Guarda e scopri: gli animali della spiaggia e della costa","AA.VV.","AMZ","LIBRO DISPONIBILE","R 591.909","GUA","1.Fauna costiera-Libri per ragazzi",,"  61","Milano","Guarda e scopri gli animali, 8",20/03/2003,"1975",950
,"U00953","Guarda e scopri gli animali del lago e della palude","AA.VV.","AMZ","LIBRO DISPONIBILE","R 591.92","GUA","1.Fauna lacustre-Libri per ragazzi, 2.Fauna palustre-Libri per ragazzi",,"  61","Milano","Guarda e scopri gli animali, 5",20/03/2003,"1975",953
,"U00954","Guarda e scopri: gli animali del fiume e dello stagno","AA.VV.","AMZ","LIBRO DISPONIBILE","R 591.92","GUA","1.Fauna-Ruscello",,"  61","Milano","Guarda e scopri gli animali, 4",20/03/2003,"1972",954
,"U00956","Guarda e scopri: il cavallo e l'uo","Faustinelli",,"LIBRO DISPONIBILE",,,,,"   0",,,,,956
,"U00957","Guarda e scopri i piccoli dei piccoli animali","AA.VV.","AMZ","LIBRO DISPONIBILE","R 591.3","GUA","1.Animali-Libri per ragazzi",,"  45","Milano","Guarda e scopri, 19",17/04/2003,"1985",957
,"U00958","Guarda e scopri gli animali della preistoria","AA.VV.","AMZ","LIBRO DISPONIBILE","R 560","GUA","1.Animali fossili-Libri per ragazzi",,"  61","Milano","Guarda e scopri, 16",17/04/2003,"1976",958
,"U00959","Guarda e scopri:gli animali del Nord America","AA.VV.","AMZ","LIBRO DISPONIBILE","R 591.97","GUA","1.Fauna-America settentrionale-Libri per ragazzi",,"  61","Milano","Guarda e scopri, 14",17/04/2003,"1975",959
,"U00960","Guarda e scopri: gli animali del Sud America","AA.VV.","AMZ","LIBRO DISPONIBILE","R 591.98","GUA","1.Fauna-America meridionale",,"  61","Milano","Guarda e scopri gli animali, 12",20/03/2003,"1972",960
,"U00961","Guarda e scopri:gli animali dell'Africa","AA.VV.","AMZ","LIBRO DISPONIBILE","R 591.96","GUA","1.Fauna-Africa-Libri per ragazzi",,"  61","Milano","Guarda e scopri, 11",17/04/2003,"1976",961
,"U00962","Leone africano, Il","AA.VV.","Mondadori","LIBRO DISPONIBILE","R 599.74","LEO","1.Leone-Africa",,"  96","Milano","Disney Natura",20/03/2003,"1975",962
,"U00963","Dove vive il giaguaro","Walt, Disney",,"LIBRO DISPONIBILE",,,,,"   0",,,,,963
,"U00964","Più strane creature della terra, Le","Melegari, Vezio","ndadori","LIBRO DISPONIBILE","R 591","MEL","1.Animali-Libri per ragazzi",," 140","Milano","I grandi libri d'oro",10/04/2003,"1974",964
,"U00965","Mare, Il","Andrews, Keith","Mondadori","LIBRO DISPONIBILE","R 551.46","AND","1.Mare-Libri per ragazzi, 2.Oceanografia-Libri per ragazzi, 3.Fauna marina-Libri per ragazzi",,"  47","Milano","Ricerche su",24/04/2003,"1975",965
,"U00966","Come vivono gli animali nei boschi e nelle foreste","Cuisin, Michel","Edipem","LIBRO DISPONIBILE","R 591.909","CUI","1.Fauna boschiva-Libri per ragazzi",,"  46","Novara","Come vivono gli animali",20/03/2003,"1983",966
,"U00967","Come vivono gli animali sui monti","Cuisin, Michel","Edipem","LIBRO DISPONIBILE","R 591.909","CUI","1.Fauna montana-Libri per ragazzi",,"  46","Novara","Come vivono gli animali",24/04/2003,"1980",967
,"U00968","Storia degli animali domestici, La","Minelli, Alessandro","Mondadori","LIBRO DISPONIBILE","R 591.6","MIN","1.Animali domestici-Libri per ragazzi",," 120","Milano","Il club delle Giovani Marmotte",10/04/2003,"1978",968
,"U00970","Storia della terra, La","De Rosa, eugenio","Mondadori","LIBRO DISPONIBILE","R 551","DER","1.Terra-Storia-Libri per ragazzi",," 121","Milano","Il club delle Giovani Marmotte",10/04/2003,"1976",970
,"U00972","Com'è fatto l'atomo","Panini, Giorgio P.","Mondadori","LIBRO DISPONIBILE","R 539.7","PAN","1.Energia nucleare-Libri per ragazzi, 2.Atomo-Libri per ragazzi",," 121","Milano","Il club deklle Giovani Marmotte",20/03/2003,"1980",972
,"U00973","Esperimenti con i grandi scienziat","Chersi-fedini",,"LIBRO DISPONIBILE",,,,,"   0",,,,,973
,"U00974","Avventura dei dinosauri, L'","Ruggieri, Guido","Mondadori","LIBRO DISPONIBILE","R 567.9","RUG","1.Dinosauri-Libri per ragazzi",," 121","Milano","Il club delle Giovani Marmotte",20/03/2003,"1980",974
,"U00975","Osserviamo gli animali","Minelli, Alessandro","Mondadori","LIBRO DISPONIBILE","R 591.5","MIN","1.Animali-Comportamento, 2.Animali-Adattamento",," 123","Milano","Il club delle Giovani Marmotte",24/04/2003,"1976",975
,"U00977","Ambienti delle piante, Gli","Bianchini, Francesco - Dicincenzo, Maria Vittoria","Mondadori","LIBRO DISPONIBILE","R 581.5","BIA","1.Vegetazione-Libri per ragazzi",," 121","Milano","Il club delle Giovani Marmotte",10/04/2003,"1977",977
,"U00978","Storia della terra, La","De, Rosa",,"LIBRO DISPONIBILE",,,,,"   0",,,,,978
,"U00981","Come vivere sani","Rothenberg, Robert E.","Mondadori","LIBRO DISPONIBILE","R 613","ROT","1.Salute-Libri per ragazzi",," 121","Milano","Il club delle Giovani Marmotte",20/03/2003,"1979",981
,"U00982","Banca e la borsa, La","Buccellati Mantovani, Graziella - Proserpio, Claudio","Mondadori","LIBRO DISPONIBILE","R 332","BUC","1.Banche-Libri per ragazzi, 2.Borse-Libri per ragazzi",," 121","Milano","Il club delle Giovani Marmotte",24/04/2003,"1978",982
,"U00983","500 anni di vita quotidiana","Butazzi, Grazietta","Mondadori","LIBRO DISPONIBILE","R 930","BUT","1.Vita sociale-Storia-Libri per ragazzi",," 121","Milano","Il club delle Giovani Marmotte",20/03/2003,"1977",983
,"U00984","Mondo nello zaino, Il","Pascarella",,"LIBRO DISPONIBILE",,,,,"   0",,,,,984
,"U00985","Mondo nello zaino, Il","Pascarella-scharff",,"LIBRO DISPONIBILE",,,,,"   0",,,,,985
,"U00986","Giochi all'aria aperta","Pretto, Glauco - Zanini, Giuseppe","Mondadori","LIBRO DISPONIBILE","R 796","PRE","1.Giochi-Libri per ragazzi",," 121","Milano","Il club delle Giovani Marmotte",24/04/2003,"1979",986
,"U00987","Cinema il sogno continua","Amatucci, Bruno",,"LIBRO DISPONIBILE",,,,,"   0",,,,,987
,"U00988","Che cosa faccio oggi?","AA.VV.","Mondadori","LIBRO DISPONIBILE","R 745.5","CHE","1.Lavori manuali-Libri per ragazzi",," 127","Milano","I libri attivi",11/09/2002,"1975",988
,"U00989","Dalla carriola al modulo lunare","Ploquin, Genevieve","Medusa","LIBRO DISPONIBILE","745.5","PLO","1.Lavori manuali",,"  63","Bologna","Gioia di creare, 2",19/09/2002,"1974",989
,"U00990","Tre uomini in barca","Jerome, Jerome Jlapka","Accademia","LIBRO DISPONIBILE","R  F","JER",,,"   0","Milano","Grandi classici",26/10/2002," 976",990
,"U00991","Kim","Kipling, Rudyard","Mursia","LIBRO DISPONIBILE","R  H","KIP",,,"   0","Milano","Corticelli, 23",24/10/2002,"1973",991
,"U00993","Straordinarie investigazioni del Principe Florizel, Le","Stevenson, Robert Louis","Mursia","LIBRO DISPONIBILE","R  H","STE",,,"   0","Milano","Corticelli, 83",26/10/2002,"1972",993
,"U00994","Heidi","Spyri, Johanna","Mursia","LIBRO DISPONIBILE","R  H","SPY",,,"   0","Milano","Corticelli, 122",24/10/2002,"1978",994
,"U00995","Michael, fratello di Jerry","London, Jack","Mursia","LIBRO DISPONIBILE","R  H","LON",,,"   0","Milano","Corticelli, 51",24/10/2002,"1975",995
,"U00996","Cucciolo, Il","Rawling, Marjorie Kinnan","Bompiani","LIBRO DISPONIBILE","R  I","RAW",,,"   0","Milano",,02/11/2002,"1974",996
,"U00997","Piccoli uomini","Alcott, Louisa May","Malipero","LIBRO DISPONIBILE","R  I","ALC",,,"   0","Bologna",,24/10/2002,"1969",997
,"U00998","Daddi e Giogi","Anguissola, Giana","Mursia","LIBRO DISPONIBILE","R  I","ANG",,,"   0","Milano","Corticelli, 104",26/10/2002,"1972",998
,"U00999","Aka-Hor","Milani, Mino","Mursia","LIBRO DISPONIBILE","R  H","MIL",,,"   0","Milano","Corticelli, 127",26/10/2002,"1971",999
,"U01004","Invincibili uomini della non v, Gli","Micheluzzi-tacconi-roudolph-nizzi",,"LIBRO DISPONIBILE",,,,,"   0",,,,,1004
,"U01005","Rocce di korsan, Le","Adams, Richard","Rizzoli","LIBRO DISPONIBILE","823.9","ADA",,," 141","Milano",,05/09/2002,"1980",1005
,"U01009","Ragazzi di Jo, I","Alcott, Louisa May","AMZ","LIBRO DISPONIBILE","R  I","ALC",,,"   0","Milano","Nuovi birilli",26/10/2002,"1982",1009
,"U01010","Isola saltuaria, L'","Pezzetta, Silvano","Fabbri","LIBRO DISPONIBILE","R I","PEZ",,,"191","Milano","Nuove letture ; 20",,"1980",1010
,"U01012","Alla conquista del West. Al servizio della legge","Padoan, Gianni","AMZ","LIBRO DISPONIBILE","R  H","PAD",,,"   0","Milano",,26/10/2002,"1980",1012
,"U01013","Giro del mondo in 80 giorni, Il","Verne, Jules","Mondadori","LIBRO DISPONIBILE","R  H","VER",,,"   0","Milano","Il timone",24/10/2002,"1976",1013
,"U01014","Rivincita di Tremal-Naik, La","Salgari, Emilio","Malipiero","LIBRO DISPONIBILE","R  H","SAL",,,"   0","Bologna","Racconti e avventure",24/10/2002,"1970",1014
,"U01015","Grandi esploratori a fumetti","AA.VV.","Società San Paolo","LIBRO DISPONIBILE","R 910","GRA","1.Esploratori-Libri per ragazzi",,"  91","Milano",,20/03/2003,"1985",1015
,"U01016","Viaggio al centro della Terra. Il conte di Chanteleine","Verne, Jules","Mursia","LIBRO DISPONIBILE","R  H","VER",,,"   0","Milano","Corticelli, 1991",26/10/2002,"1978",1016
