"PRENOTAZIONE","NINGRESSO","Titolo","Autore ","Casa editrice","Disponibilità","CDD","ABBREVIAZ","SOGGETTO","ISBN","PAGINE","LUOGOEDIZ","COLLANA","ULTIMOAGG","ANNO_ED","PROGRESSIVO"
,"U03753","Uomini sul fondo","Werren, C. E. T.","Longanesi & C.","LIBRO DISPONIBILE","823.9","WAR",,," 285","Milano","I libri pocket, 51",25/08/2002,"1966",3753
,"U03754","Folli muoiono, I","Puzo, Mario","CDE","LIBRO DISPONIBILE","813.5","PUZ",,," 602","Milano",,24/08/2002,"1978",3754
,"U03755","Perestrojka","Gorbacev, Mihail Sergeevic","Mondadori","LIBRO DISPONIBILE","947.085","GOR","1.Unione Sovietica-Politica-1985-1987",," 348","Milano","Saggi",07/09/2002,"1989",3755
,"U03756","Sultana bianca, La","Chase-Riboud, Barbara","Euroclub","LIBRO DISPONIBILE","813.5","CHA",,," 304","Milano",,06/09/2002,"1988",3756
,"U03757","Black-out","Hailey, Arthur","dall'Oglio","LIBRO DISPONIBILE","813.5","HAI",,," 525","Milano",,04/09/2002,"1979",3757
,"U03758","Come il mare","Smith, Wilbur","CDE","LIBRO DISPONIBILE","823.9","SMI",,," 389","Milano",,01/09/2002,"1980",3758
,"U03759","Paladino, Il","Garfield, Brian","Club del LIbro","LIBRO DISPONIBILE","813.5","GAR",,,"   0","MIlano",,07/09/2002,"1981",3759
,"U03760","Stella rossa sulla Cina","Snow, Edgar","CDE","LIBRO DISPONIBILE","951.01","SNO","1.Cina-1936-1937-Descrizioni e viaggi",," 589","Milano",,01/09/2002,"1985",3760
,"U03761","Lolita","Nabokov, Vladimir Vladimirovic","Mondadori","LIBRO DISPONIBILE","813.5","NAB",,," 384","Milano","Gli Oscar, 45",01/09/2002,"1970",3761
,"U03762","Nono uomo, Il","Lee, John","CDE","LIBRO DISPONIBILE","813.5","LEE",,," 403","Milano",,01/09/2002,"1977",3762
,"U03763","Racconti","Kafka, Franz","Longanesi & C.","LIBRO DISPONIBILE","833.9","KAF",,," 238","Milano","I libri pocket, 14",25/08/2002,"1965",3763
,"U03764","Alta finanza","Folett, Ken","Mondadori","LIBRO DISPONIBILE","823.9","FOL",,," 212","MIlano","Bestsellers",05/09/2002,"1990",3764
,"U03765","Alessandro il grande","Radet, Georges","Mondadori","LIBRO DISPONIBILE","938","RAD","1.Alessandro Magno",," 280","Milano","Biografie e storia",19/09/2002,"1985",3765
,"U03766","Bermuda: il triangolo maledetto","Berlitz, Charles","CDE","LIBRO DISPONIBILE","001.9","BER","1.Triangolo delle Bermude",," 224","Milano",,06/09/2002,"1976",3766
,"U03767","Notti africane","Gallmann, Kuki","Mondadori","LIBRO DISPONIBILE","916.76","GAL","1.Kenya-Descrizioni e viaggi",," 201","Milano","I miti, 39",06/09/2002,"1996",3767
,"U03768","Siddharta. Il pellegrinaggio in oriente","Hesse, Hermann","Euroclub","LIBRO DISPONIBILE","833.9","HES",,," 221","Milano",,28/09/2002,"1980",3768
,"U03769","Comma 22","Heller, Joseph","Mondadori","LIBRO DISPONIBILE","813.5","HEL",,," 540","Milano","Gli Oscar, L54",04/09/2002,"1974",3769
,"U03770","Odore del fieno, L'","Bassani, Giorgio","Mondadori","LIBRO DISPONIBILE","853.9","BAS",,," 146","Milano",,22/08/2002,"1973",3770
,"U03771","Chiave a stella, La","Levi, Primo","CDE","LIBRO DISPONIBILE","853.9","LEV",,," 227","Milano",,23/08/2002,"1975",3771
,"U03772","Specchio delle spie, Lo","Le Carrè, John","CDE","LIBRO DISPONIBILE","823.9","LEC",,," 251","Milano",,05/09/2002,"1975",3772
,"U03773","Cuore perso, Un","Spaak, Catherine","Euroclub","LIBRO DISPONIBILE","853.9","SPA",,," 219","Milano",,24/08/2002,"1995",3773
,"U03774","Fu Mattia Pascal, Il","Pirandello, Luigi","Mondadori","LIBRO DISPONIBILE","853.9","PIR",,," 240","Milano",,24/08/2002,"1988",3774
,"U03775","Formula, La","Shagan, Steven","CDE","LIBRO DISPONIBILE","813.5","SHA",,," 412","Milano",,25/08/2002,"1980",3775
,"U03776","Killer dei mari, Il","Scott, Justin","CDE","LIBRO DISPONIBILE","813.5","SCO",,," 384","Milano",,25/08/2002,"1980",3776
,"U03777","Viaggio all'inferno, /di/ Jack Higgins (pseudonimo di Henry Patterson)","Patterson, Henry","Sperling & Kupfer","LIBRO DISPONIBILE","823.9","PAT",,," 300","Milano","Superbestseller, 360",25/08/2002,"1990",3777
,"U03778","Pirata, Il","Robbins, Harold","Sonzogno","LIBRO DISPONIBILE","813.5","ROB",,," 330","Milano","Narrativa",01/09/2002,"1980",3778
,"U03779","Banconota da un milione di sterline e altri racconti, La","Twain, Mark","Newton Compton","LIBRO DISPONIBILE","813.4","TWA",,,"  91","Roma","Tascabili economici, 112",01/09/2002,"1993",3779
,"U03780","Di papà ce n'è uno solo","Micali, Gianfranco","Rusconi","LIBRO DISPONIBILE","306.8","MIC","1.Figli-Rapporti con il padre-Testimonianze",," 250","Milano",,23/08/2002,"1994",3780
,"U03782","Uomini al potere","Schmidt, Helmut","SugarCo","LIBRO DISPONIBILE","909.82","SCH","1.Uomini politici-Sec. XX, 2.Politica internazionale-Sec. XX",," 359","Milano",,19/09/2002,"1987",3782
,"U03783","Solo, intorno al mondo e viaggio della ""Libertade""","Slocum, Joshua","Mursia","LIBRO DISPONIBILE","910.4","SLO","1.Viaggi di circumnavigazione-Diari e memorie",," 300","Milano","Biblioteca del mare, 15. Crociere, regat",19/09/2002,"1995",3783
,"U03784","Titouan Lamazou. ""Domani, morto io, morti tutti""","Le Roux, Patrick","Mursia","LIBRO DISPONIBILE","910.4","LER","1.Viaggi di circumnavigazione-Diari e memorie",," 182","Milano","Biblioteca del mare, 331. Crociere, rega",19/09/2002,"1992",3784
,"U03785","Da un Pen Duick all'altro. Dalla Transatlantica alla TRanspacifica","Tabarly, Eric","Mursia","LIBRO DISPONIBILE","797.1","TAB","1.Regate a vela",," 208","Milano","Biblioteca del mare, 67. Crociere, regat",19/09/2002,"1989",3785
,"U03786","Vagabondo dei mari del sud, Un","Moitessier, Bernard","Mursia","LIBRO DISPONIBILE","910.4","MOI","1.Viaggi di circumnavigazione-Diari e memorie",," 311","Milano","Biblioteca del mare, 17. Crociere, regat",19/09/2002,,3786
,"U03787","Capo Horn alla vela. 14.000 miglia senza scalo","Moitssier, Bernard","Mursia","LIBRO DISPONIBILE","910.4","MOI","1.Capo Horn-Descrizioni e viaggi, 2.Viaggi per mare-1966-Diari e memorie",," 310","Milano","Biblioteca del mare, 14. Crociere, regat",19/09/2002,"1991",3787
,"U03788","Crociera imprevista. Il viaggio del Sirio, La","Dumas, Vito","Mursia","LIBRO DISPONIBILE","910.4","DUM","1.Viaggi-Diari e memorie",," 198","Milano","Biblioteca dle mare, 92. Crociere, regat",19/09/2002,"1989",3788
,"U03789","Acqua e vino; ommini e bestie; libro muto","Trilussa","Mondadori","LIBRO DISPONIBILE","851.9","TRI",,," 200","Milano","Gli Oscar, 1a",26/08/2002,"1964",3789
,"U03790","Qualcosa che vale","Ruark, Robert Chester","Bompiani","LIBRO DISPONIBILE","813.5","RUA",,," 711","Milano","I grandi tascabili, 24",01/09/2002,"1988",3790
,"U03791","Dopo di me il diluvio","Forrest, David","Mondadori","LIBRO DISPONIBILE","823.9","FOR",,," 202","Milano","Gli Oscar, 716",05/09/2002,"1976",3791
,"U03792","Villaggio della nuova vita, Il","Platonov, Andrej","CDE","LIBRO DISPONIBILE","891.734","PLA",,," 425","Milano",,01/09/2002,"1972",3792
